,,,,,,,,,2020年＝100.0
,鉱工業接続指数（原指数）（年度）,,,,,,,,
,,,,,,,,,
,指数名称,付加価値額生産指数,付加価値額生産指数,出荷指数,出荷指数,在庫指数（末）,在庫指数（末）,在庫率指数,在庫率指数
,期種,年度,年度,年度,年度,年度,年度,年度,年度
時系列コード,指数水準、前年度比の別,水準,前年度比,水準,前年度比,水準,前年度末比,水準,前年度比
1953100000,1953FY,6.4,－,6.6,－,7.2,－,－,－
1954100000,1954FY,6.6,3.7,6.9,2.8,7.7,5.4,－,－
1955100000,1955FY,7.5,11.7,7.5,13.1,7.5,-1.3,－,－
1956100000,1956FY,9.1,24.1,9.3,20.5,8.2,9.6,－,－
1957100000,1957FY,10.4,12.5,10.1,9,12.6,39.6,－,－
1958100000,1958FY,10.4,2.8,10.5,4.3,11.6,-6,－,－
1959100000,1959FY,12.9,25.2,13,22.7,13.5,15.1,－,－
1960100000,1960FY,15.8,22.5,15.7,21.2,16.3,20.2,－,－
1961100000,1961FY,18.8,18.5,18.3,16.6,21.8,35.3,－,－
1962100000,1962FY,19.7,4.7,19.6,6.3,22.6,6.7,－,－
1963100000,1963FY,22.9,15.3,22.3,13.7,24.8,11.4,－,－
1964100000,1964FY,25.6,12.6,25,12.3,29.2,17.2,－,－
1965100000,1965FY,26.5,3.2,26,3.8,31.5,7.6,－,－
1966100000,1966FY,31.1,17.1,30.4,16.7,32.2,3.5,－,－
1967100000,1967FY,36.8,18.6,35.5,17,39.4,21.9,－,－
1968100000,1968FY,42.2,17.2,41,15.9,46.8,21.1,56,－
1969100000,1969FY,49.3,16.7,48.2,17.5,52.5,12.5,55.6,-0.7000000000000028
1970100000,1970FY,54.7,10.8,52.7,9.5,65.6,24.9,62.1,11.799999999999997
1971100000,1971FY,55.7,2,54.7,3.5,67.7,3.1,67.8,9.299999999999997
1972100000,1972FY,61.5,10.8,60.6,11.2,62.6,-7.8,59.2,-12.700000000000003
1973100000,1973FY,69.1,14.8,67.1,12,72.3,16.3,54.1,-8.799999999999997
1974100000,1974FY,62.3,-9.7,60.8,-9.4,89.4,23.8,81.6,50.9
1975100000,1975FY,59.6,-4.4,59.8,-1.6,83.7,-6.4,78.6,-3.6
1976100000,1976FY,66.1,10.8,65.7,9.8,88.5,5.6,73,-7.2
1977100000,1977FY,68.2,3.2,67.8,3.1,87.9,0.8,74.1,1.8
1978100000,1978FY,73,7,72.1,6.4,86,-1.7,66.8,-8.5
1979100000,1979FY,78.8,8,77.3,7.1,90.3,5.1,62.7,-6.3
1980100000,1980FY,80.4,2.2,77.6,0.4,97.3,7.7,71.6,14.4
1981100000,1981FY,82,2,78.6,1.5,95.9,-1.5,71.8,0.3
1982100000,1982FY,81.6,-0.6,77.8,-1.1,91.4,-5,72.3,0.8
1983100000,1983FY,86.2,6.4,82.2,6,89.6,-1.6,67.7,-8.6
1984100000,1984FY,93.4,8.4,87.9,6.9,97.3,8.6,67.9,0.3
1985100000,1985FY,95.6,2.5,90.4,2.7,101.6,4.3,70.7,4
1986100000,1986FY,95.5,-0.2,91.1,0.8,97.2,-4.3,70.7,0.1
1987100000,1987FY,101.2,5.9,96.3,5.6,97,-0.5,65.9,-6.9
1988100000,1988FY,110.1,8.9,104.6,8.5,100.4,4.5,63.5,-2.3
1989100000,1989FY,114.8,4.3,109.3,4.6,106,5.7,65.8,3.5
1990100000,1990FY,120.5,5,115,5.2,110.4,4.1,64.2,-2.4
1991100000,1991FY,119.7,-0.7,114.8,-0.3,118,6.9,71,10.3
1992100000,1992FY,112.6,-6.3,109,-5.4,114.1,-3.2,76.2,7.7
1993100000,1993FY,108.4,-4,105.6,-3.6,111.7,-3,76.5,1
1994100000,1994FY,111.9,3,108.6,2.9,112.2,0.4,72.4,-5.4
1995100000,1995FY,114.2,2.1,110.7,1.8,116,3.5,75.5,4.3
1996100000,1996FY,118,3.4,115.2,4.1,111.3,-4.1,73.9,-2.2
1997100000,1997FY,119.4,1.1,116.5,1,120.8,9.5,77.6,5.5
1998100000,1998FY,111.2,-7,110.3,-6.1,108.8,-9.7,81.3,5.7
1999100000,1999FY,114.2,2.6,113.9,3.1,105.6,-2.8,74.1,-8.7
2000100000,2000FY,119,4.3,119,4.4,108.1,2.3,74.1,-0.2
2001100000,2001FY,108.1,-9.1,109,-8.4,101.4,-6.1,81.4,10
2002100000,2002FY,111.3,2.8,112.9,3.5,95.8,-5.8,72.5,-10.8
2003100000,2003FY,114.5,3.5,116.5,4.2,94.1,-1.3,69.7,-2.7
2004100000,2004FY,118.9,3.9,120.8,3.6,96.9,2.9,68.5,-1.8
2005100000,2005FY,120.8,1.6,123.5,2.2,99.3,2.5,69.8,2
2006100000,2006FY,126.3,4.6,128.6,4.3,101,1.6,69.4,-0.5
2007100000,2007FY,129.9,2.7,132.7,3.2,101.7,1.9,70.3,0.8
2008100000,2008FY,113.6,-12.7,115.2,-12.6,97.8,-5.2,86.5,21.2
2009100000,2009FY,102.8,-9.5,104.6,-9.2,87.6,-10.5,82.7,-4.4
2010100000,2010FY,111.9,8.8,113.4,8.4,85.9,-1.9,72.6,-12.2
2011100000,2011FY,111.1,-0.7,111.7,-1.5,96.2,12.1,78.8,8.6
2012100000,2012FY,108.1,-2.9,110.1,-1.8,94.6,-3,82.8,5
2013100000,2013FY,111.7,3.4,115,4.5,90.7,-4.1,76.3,-7.9
2014100000,2014FY,111.1,-0.6,113.1,-1.7,95.4,5.2,81.1,6.3
2015100000,2015FY,110.3,-0.7,112,-1,95.6,0.2,81.9,0.9
2016100000,2016FY,111.2,0.8,112.7,0.6,94.3,-1.4,82.3,0.5
2017100000,2017FY,114.3,2.9,114.9,2.2,99.6,5.1,83.3,1.2
2018100000,2018FY,114.2,-0.1,114.4,-0.4,98.6,-1,85.9,3.1
2019100000,2019FY,110.2,-3.5,110.4,-3.5,101,2.4,91.7,6.8
2020100000,2020FY,99.7,-9.5,99.7,-9.7,91.2,-9.7,98.1,7
2021100000,2021FY,105.2,5.5,103.8,4.1,98.4,7.9,91.7,-6.5
,注１：年度,,,,,,,,
,　　　西暦４桁とFYで表記しています。,,,,,,,,
,　　　例：2020年度（2020年4月～2021年3月）→2020FY,,,,,,,,
,注２：前年度（末）比は、公表当時における指数値から計算したものです。,,,,,,,,
,　　　接続指数は、基準改定ごとに作成した接続係数を公表当時の指数値に乗じて作成しており、その際に小数点以下の値を四捨五入しています。,,,,,,,,
,　　　そのため、接続指数で計算した前年度（末）比と、公表当時の指数値から計算した前年度（末）比とは一致しません。,,,,,,,,
